id_municipio,pib_mil_reais,ano_pib
1707207,216149,2021
1707306,204765,2021
1707405,118724,2021
1707553,89100,2021
1707652,256752,2021
1707702,129323,2021
1708205,1414038,2021
1708254,232898,2021
1708304,193502,2021
1709005,230924,2021
1709302,880403,2021
1709500,2648420,2021
1709807,47772,2021
1710508,186260,2021
1710706,82611,2021
1710904,171522,2021
1711100,69980,2021
1711506,97865,2021
1711803,44395,2021
1711902,998445,2021
1711951,89429,2021
1712009,64405,2021
1712157,37870,2021
1712405,66332,2021
1712454,71180,2021
1712504,252331,2021
1712702,252360,2021
1712801,55911,2021
1713205,642003,2021
1713304,390325,2021
1713601,296288,2021
1713700,75004,2021
1713809,95357,2021
1713957,69465,2021
1714203,247340,2021
1714302,58139,2021
1714880,320311,2021
1715002,100915,2021
1715101,84723,2021
1715150,35521,2021
1715259,42672,2021
1715507,29469,2021
1715705,185349,2021
1715754,170118,2021
1716109,1513693,2021
1716208,315397,2021
1716307,91169,2021
1716505,848671,2021
1716604,733929,2021
1716653,107606,2021
1716703,182796,2021
1717008,85006,2021
1717206,89940,2021
1717503,361915,2021
1717800,66158,2021
1717909,121170,2021
1718006,47043,2021
1718204,3649421,2021
1718303,93139,2021
1718402,65165,2021
1718451,82663,2021
1718501,91480,2021
1718550,68536,2021
1718659,29142,2021
1718709,85928,2021
1718758,111443,2021
1718808,145863,2021
1718840,116736,2021
1718865,175927,2021
1718881,139630,2021
1718899,180273,2021
1718907,307685,2021
1719004,48098,2021
1720002,41931,2021
1720101,73590,2021
1720150,36541,2021
1720200,255814,2021
1720259,49467,2021
1720309,61804,2021
1720499,156734,2021
1720655,240329,2021
1720804,132862,2021
1720853,532374,2021
1720903,318253,2021
1720937,35246,2021
1720978,146708,2021
1721000,10333419,2021
1721109,191373,2021
1721208,372642,2021
1721257,118839,2021
1721307,38619,2021
1722081,183424,2021
1722107,471020,2021
2100055,3828533,2021
2100105,85052,2021
2100154,101642,2021
2100204,148763,2021
2100303,249396,2021
2100402,71512,2021
2100436,303118,2021
2100477,251719,2021
2100501,578961,2021
2100550,70198,2021
2100600,388636,2021
2100709,207606,2021
2100808,149102,2021
2100832,133946,2021
2100873,101728,2021
2100907,282769,2021
2100956,290315,2021
2101004,313251,2021
2101103,97422,2021
2101202,1514560,2021
2101251,599285,2021
2101301,122872,2021
2101350,39590,2021
2101400,6307425,2021
2101509,268538,2021
2101608,889190,2021
2101707,635711,2021
2101731,60711,2021
2101772,107543,2021
2101806,73150,2021
2101905,138114,2021
2101939,105114,2021
2101970,67540,2021
2102002,411352,2021
2102036,375665,2021
2102077,117960,2021
2102101,328633,2021
2102150,71065,2021
2102200,277919,2021
2102309,238673,2021
2102325,748028,2021
2102358,122474,2021
2102374,60974,2021
2102408,70653,2021
2102507,128078,2021
2102556,214011,2021
2102606,146788,2021
2102705,153398,2021
2102754,283976,2021
2102804,525893,2021
2102903,201999,2021
2103000,2112638,2021
2103109,78583,2021
2103125,58347,2021
2103158,103737,2021
2103174,200757,2021
2103208,894366,2021
2103257,183560,2021
2103307,1648585,2021
2103406,465859,2021
2103505,553171,2021
2103554,147189,2021
2103604,533579,2021
2103703,264536,2021
2103752,190193,2021
2103802,262555,2021
2103901,86904,2021
2104008,158978,2021
2104057,1134821,2021
2104073,118004,2021
2104081,100418,2021
2104099,202149,2021
2104107,346695,2021
2104206,143297,2021
2104305,2658688,2021
2104404,150061,2021
2104503,91904,2021
2104552,374988,2021
2104602,118426,2021
2104628,71080,2021
2104651,84172,2021
2104677,257972,2021
2104701,54153,2021
2104800,1149733,2021
2104909,93393,2021
2105005,184363,2021
2105104,178923,2021
2105153,370653,2021
2105203,117728,2021
2105302,7692904,2021
2105351,107285,2021
2105401,772830,2021
2105427,489226,2021
2105450,75689,2021
2105476,125733,2021
2105500,270611,2021
2105609,116543,2021
2105658,61701,2021
2105708,550404,2021
2105807,86638,2021
2105906,135733,2021
2105922,97006,2021
2105948,83983,2021
2105963,102432,2021
2105989,101467,2021
2106003,274539,2021
2106102,413263,2021
2106201,57337,2021
2106300,140962,2021
2106326,208574,2021
2106359,90804,2021
2106375,120910,2021
2106409,179196,2021
2106508,196744,2021
2106607,256347,2021
2106631,99315,2021
2106672,64341,2021
2106706,277811,2021
2106755,788580,2021
2106805,112050,2021
2106904,257635,2021
2107001,86487,2021
2107100,149899,2021
2107209,88513,2021
2107258,86427,2021
2107308,50966,2021
2107357,183142,2021
2107407,188363,2021
2107456,107282,2021
2107506,1240349,2021
2107605,139099,2021
2107704,183353,2021
2107803,322943,2021
2107902,200088,2021
2108009,309499,2021
2108058,118326,2021
2108108,194140,2021
2108207,787660,2021
2108256,157863,2021
2108306,253736,2021
2108405,95936,2021
2108454,230427,2021
2108504,296184,2021
2108603,1039933,2021
2108702,191327,2021
2108801,130764,2021
2108900,163076,2021
2109007,1026076,2021
2109056,45856,2021
2109106,755699,2021
2109205,84479,2021
2109239,60682,2021
2109270,164968,2021
2109304,76166,2021
2109403,89083,2021
2109452,286153,2021
2109502,673197,2021
2109551,124192,2021
2109601,443176,2021
2109700,474703,2021
2109759,60203,2021
2109809,357951,2021
2109908,1465933,2021
2110005,743420,2021
2110039,253332,2021
2110104,218445,2021
2110203,354631,2021
2110237,74090,2021
2110278,95932,2021
2110302,3055535,2021
2110401,143437,2021
2110500,312160,2021
2110609,281177,2021
2110658,320522,2021
2110708,355916,2021
2110807,86158,2021
2110856,121253,2021
2110906,98973,2021
2111003,135595,2021
2111029,123006,2021
2111052,151458,2021
2111078,156360,2021
2111102,340970,2021
2111201,2293735,2021
2111250,61940,2021
2111300,36533730,2021
2111409,170048,2021
2111508,429232,2021
2111532,127603,2021
2111573,83541,2021
2111607,739621,2021
2111631,43955,2021
2111672,45766,2021
2111706,145752,2021
2111722,93076,2021
2111748,101830,2021
2111763,187130,2021
2111789,72441,2021
2111805,221499,2021
2111904,126217,2021
2111953,47999,2021
2112001,2351422,2021
2112100,196337,2021
2112209,2320671,2021
2112233,525500,2021
2112274,60049,2021
2112308,365192,2021
2112407,295916,2021
2112456,223067,2021
2112506,546155,2021
2112605,247485,2021
2112704,433473,2021
2112803,501710,2021
2112852,156914,2021
2112902,318163,2021
2113009,325509,2021
2114007,567070,2021
2200053,73623,2021
2200103,47283,2021
2200202,244027,2021
2200251,65442,2021
2200277,48184,2021
2200301,130958,2021
2200400,538140,2021
2200459,82125,2021
2200509,192594,2021
2200608,66749,2021
2200707,98552,2021
2200806,140157,2021
2200905,57305,2021
2200954,24630,2021
2201002,48922,2021
2201051,64266,2021
2201101,97602,2021
2201150,1768705,2021
2201176,38963,2021
2201200,497742,2021
2201309,163172,2021
2201408,90192,2021
2201507,250807,2021
2201556,46876,2021
2201572,41264,2021
2201606,91898,2021
2201705,72471,2021
2201739,62570,2021
2201770,62507,2021
2201804,47772,2021
2201903,1411005,2021
2201919,70166,2021
2201929,52945,2021
2201945,51725,2021
2201960,69325,2021
2201988,43979,2021
2202000,214793,2021
2202026,69690,2021
2202059,86140,2021
2202075,34182,2021
2202083,115379,2021
2202091,195079,2021
2202109,57498,2021
2202117,51328,2021
2202133,62139,2021
2202174,56554,2021
2202208,706324,2021
2202251,41948,2021
2202307,271402,2021
2202406,106411,2021
2202455,43672,2021
2202505,97485,2021
2202539,57437,2021
2202554,50032,2021
2202604,202304,2021
2202653,53144,2021
2202703,272775,2021
2202711,46961,2021
2202729,56962,2021
2202737,37708,2021
2202752,70560,2021
2202778,68111,2021
2202802,60446,2021
2202851,40770,2021
2202901,680737,2021
2203008,75069,2021
2203107,121468,2021
2203206,140861,2021
2203230,409013,2021
2203255,39660,2021
2203271,78414,2021
2203305,215834,2021
2203354,67493,2021
2203404,78053,2021
2203420,46532,2021
2203453,164347,2021
2203503,164745,2021
2203602,55592,2021
2203701,456615,2021
2203750,46774,2021
2203800,48120,2021
2203859,25258,2021
2203909,1375704,2021
2204006,44797,2021
2204105,46763,2021
2204154,30662,2021
2204204,83053,2021
2204303,124838,2021
2204352,59302,2021
2204402,416900,2021
2204501,637210,2021
2204550,45099,2021
2204600,34066,2021
2204659,119727,2021
2204709,163649,2021
2204808,82428,2021
2204907,80798,2021
2205003,108203,2021
2205102,131859,2021
2205151,69073,2021
2205201,191773,2021
2205250,39633,2021
2205276,58752,2021
2205300,63533,2021
2205359,69289,2021
2205409,118898,2021
2205458,46226,2021
2205508,390737,2021
2205516,55948,2021
2205524,78729,2021
2205532,43566,2021
2205540,40519,2021
2205557,77320,2021
2205565,537525,2021
2205573,54980,2021
2205581,74653,2021
2205599,48595,2021
2205607,109799,2021
2205706,378632,2021
2205805,241246,2021
2205854,75141,2021
2205904,54807,2021
2205953,198363,2021
2206001,54884,2021
2206050,52130,2021
2206100,95557,2021
2206209,312836,2021
2206308,23618,2021
2206357,53563,2021
2206407,127395,2021
2206506,72882,2021
2206605,298089,2021
2206654,39149,2021
2206670,62450,2021
2206696,74909,2021
2206704,67047,2021
2206720,94898,2021
2206753,47885,2021
2206803,78547,2021
2206902,58176,2021
2206951,31237,2021
2207009,584518,2021
2207108,28731,2021
2207207,73919,2021
2207306,44250,2021
2207355,52581,2021
2207405,141457,2021
2207504,138834,2021
