id_municipio,nome_municipio,sigla_uf,regiao,taxa_2023,taxa_2024,meta_2025,meta_2030,delta_observado,delta_projetado,projecao_2025,projecao_2026,projecao_2027,projecao_2028,projecao_2029,projecao_2030,atinge_meta_2025,atinge_meta_2030,gap_2030,ritmo_necessario_ate_2030,ritmo_projetado,classificacao_ritmo
1100023,Ariquemes,RO,Norte,62.3,65.62,68.02,80.0,3.32,2.71,67.92,69.88,71.55,72.96,74.16,75.18,0,0,-4.82,2.4,2.71,No ritmo da meta
3109451,Cabeceira Grande,MG,Sudeste,40.49,54.59,53.02,80.0,14.1,13.21,65.82,75.36,83.48,90.37,96.23,100.0,1,1,20.0,4.23,13.21,No ritmo da meta
2926905,Rio do Pires,BA,Nordeste,36.5,15.62,50.01,80.0,-20.88,-10.89,6.36,0.0,0.0,0.0,0.0,0.0,0,0,-80.0,10.73,-10.89,Em retrocesso
2931905,Tucano,BA,Nordeste,28.98,35.55,43.93,80.0,6.57,2.83,37.96,40.0,41.74,43.22,44.47,45.54,0,0,-34.46,7.41,2.83,Ritmo critico
2908804,Contendas do Sincorá,BA,Nordeste,24.0,40.62,39.48,80.0,16.62,7.86,47.3,52.98,57.81,61.91,65.4,68.36,1,0,-11.64,6.56,7.86,No ritmo da meta
2604403,Chã de Alegria,PE,Nordeste,62.99,63.28,68.48,80.0,0.29,2.77,65.63,67.64,69.34,70.78,72.01,73.06,0,0,-6.94,2.79,2.77,Ritmo insuficiente
4107520,Esperança Nova,PR,Sul,42.11,71.04,54.21,80.0,28.93,13.6,82.6,92.43,100.0,100.0,100.0,100.0,1,1,20.0,1.49,13.6,No ritmo da meta
2407500,Maxaranguape,RN,Nordeste,39.12,35.11,42.99,80.0,-4.01,0.6,35.62,36.05,36.42,36.74,37.0,37.23,0,0,-42.77,7.48,0.6,Em retrocesso
4107306,Doutor Camargo,PR,Sul,79.12,60.84,79.37,80.0,-18.28,-10.0,52.34,45.12,38.97,33.75,29.32,25.55,0,0,-54.45,3.19,-10.0,Em retrocesso
2708956,Senador Rui Palmeira,AL,Nordeste,51.9,57.08,61.07,80.0,5.18,5.92,62.11,66.39,70.02,73.12,75.74,77.97,1,0,-2.03,3.82,5.92,No ritmo da meta
2705309,Minador do Negrão,AL,Nordeste,30.02,27.99,44.81,80.0,-2.03,2.31,29.95,31.62,33.04,34.25,35.27,36.14,0,0,-43.86,8.67,2.31,Em retrocesso
2932705,Uruçuca,BA,Nordeste,30.01,26.42,44.8,80.0,-3.59,-2.25,24.51,22.88,21.5,20.33,19.33,18.48,0,0,-61.52,8.93,-2.25,Em retrocesso
3156601,Rubim,MG,Sudeste,86.74,63.6,80.0,80.0,-23.14,-5.41,59.0,55.09,51.77,48.95,46.55,44.51,0,0,-35.49,2.73,-5.41,Em retrocesso
3305505,Saquarema,RJ,Sudeste,63.54,62.51,68.84,80.0,-1.03,1.01,63.37,64.1,64.72,65.25,65.69,66.07,0,0,-13.93,2.92,1.01,Em retrocesso
2806107,Rosário do Catete,SE,Nordeste,39.18,39.01,52.05,80.0,-0.17,3.27,41.79,44.15,46.16,47.87,49.32,50.55,0,0,-29.45,6.83,3.27,Em retrocesso
2704302,Maceió,AL,Nordeste,39.23,40.95,52.09,80.0,1.72,4.19,44.51,47.54,50.11,52.3,54.16,55.74,0,0,-24.26,6.51,4.19,Ritmo insuficiente
2110609,São Bernardo,MA,Nordeste,74.43,67.87,76.12,80.0,-6.56,-2.23,65.97,64.36,62.99,61.83,60.84,60.0,0,0,-20.0,2.02,-2.23,Em retrocesso
2701357,Campestre,AL,Nordeste,41.23,62.12,53.57,80.0,20.89,13.77,73.82,83.77,92.23,99.42,100.0,100.0,1,1,20.0,2.98,13.77,No ritmo da meta
2920205,Malhada,BA,Nordeste,25.23,33.68,40.62,80.0,8.45,3.77,36.88,39.61,41.92,43.89,45.56,46.99,0,0,-33.01,7.72,3.77,Ritmo critico
1100072,Corumbiara,RO,Norte,58.2,72.68,65.31,80.0,14.48,8.29,79.73,85.72,90.81,95.13,98.81,100.0,1,1,20.0,1.22,8.29,No ritmo da meta
4213302,Ponte Alta,SC,Sul,40.98,60.53,53.38,80.0,19.55,10.39,69.36,76.87,83.25,88.67,93.28,97.2,1,1,17.2,3.24,10.39,No ritmo da meta
4101051,Anahy,PR,Sul,62.4,69.97,68.09,80.0,7.57,2.92,72.45,74.56,76.35,77.88,79.17,80.28,1,1,0.28,1.67,2.92,No ritmo da meta
2204105,Francisco Ayres,PI,Nordeste,47.28,32.38,57.89,80.0,-14.9,-4.33,28.7,25.57,22.91,20.65,18.73,17.1,0,0,-62.9,7.94,-4.33,Em retrocesso
2922102,Mundo Novo,BA,Nordeste,26.61,33.33,41.86,80.0,6.72,2.91,35.8,37.91,39.69,41.21,42.5,43.6,0,0,-36.4,7.78,2.91,Ritmo critico
4218251,Timbó Grande,SC,Sul,57.76,38.62,,,-19.14,-8.95,31.01,24.55,19.05,14.38,10.41,7.03,0,0,,,-8.95,Em retrocesso
4319158,São Miguel das Missões,RS,Sul,76.3,47.5,77.4,80.0,-28.8,-24.38,26.78,9.16,0.0,0.0,0.0,0.0,0,0,-80.0,5.42,-24.38,Em retrocesso
2604007,Carpina,PE,Nordeste,65.28,59.18,70.0,80.0,-6.1,-0.43,58.81,58.5,58.24,58.02,57.82,57.66,0,0,-22.34,3.47,-0.43,Em retrocesso
1100130,Machadinho D'Oeste,RO,Norte,51.4,64.75,60.73,80.0,13.35,7.73,71.32,76.91,81.65,85.69,89.12,92.03,1,1,12.03,2.54,7.73,No ritmo da meta
2104305,Godofredo Viana,MA,Nordeste,82.97,88.4,80.0,80.0,5.43,3.76,91.6,94.31,96.62,98.58,100.0,100.0,1,1,20.0,-1.4,3.76,No ritmo da meta
2700300,Arapiraca,AL,Nordeste,39.44,43.75,52.24,80.0,4.31,5.48,48.41,52.37,55.73,58.59,61.02,63.09,0,0,-16.91,6.04,5.48,Ritmo insuficiente
2703205,Igreja Nova,AL,Nordeste,47.93,50.74,58.34,80.0,2.81,4.73,54.76,58.18,61.08,63.55,65.65,67.43,0,0,-12.57,4.88,4.73,Ritmo insuficiente
4304663,Capão do Leão,RS,Sul,48.68,28.2,58.86,80.0,-20.48,-20.22,11.01,0.0,0.0,0.0,0.0,0.0,0,0,-80.0,8.63,-20.22,Em retrocesso
